"tier","agency","principal__l1","shop_id","is_cbp","offsite__managed","paid_ads__managed","metrics","grass_month","month","actual_2021","target_2022"
"Tier 2","OnPoint","Panasonic","189431669","CBP","0","1","paid ads","2021-07-01 00:00:00.0","7","1307.319903460644",
"Tier 2","PMAX","Lock&Lock","55771655","CBP","1","1","paid ads","2021-07-01 00:00:00.0","7","5750.058026963416",
"Tier 2","OnPoint","Vpmilk","320322244","Non CBP","0","1","paid ads","2021-01-01 00:00:00.0","1","45.471693096682536",
"Tier 2","Intrepid","Panasonic","189431669","CBP","0","1","paid ads","2021-10-01 00:00:00.0","10","2548.6667827353253",
"Tier 1","Dentsu","RB Health","328910017","Non CBP","1","0","paid ads","2021-10-01 00:00:00.0","10","0.0","0.0"
"Tier 1","Dentsu","GroupSEB","254657873","CBP","1","0","paid ads","2021-10-01 00:00:00.0","10","0.0","0.0"
"Tier 1","GroupM","OPPO","25452983","Non CBP","1","1","paid ads","2021-10-01 00:00:00.0","10","715.5881470579822","480.5009149240473"
"Tier 1","Dentsu","Ariston","244543449","Non CBP","1","1","paid ads","2021-10-01 00:00:00.0","10","255.3654615867261","895.6572316043179"
"Tier 2","1 Digital","Asus","267145398","Non CBP","0","0","paid ads","2021-07-01 00:00:00.0","7","0.0",
"Tier 1","GroupM","FCV","131420188","Non CBP","1","1","paid ads","2021-12-01 00:00:00.0","12",,
"Tier 1","Publicis","Samsung","494226323","Non CBP","1","0","paid ads","2021-12-01 00:00:00.0","12","0.0","0.0"
"Tier 1","Dentsu","Mentholatum","164940823","CBP","1","0","paid ads","2021-04-01 00:00:00.0","4","0.0","0.0"
"Tier 1","Dentsu","RB Health","61792033","CBP","1","0","paid ads","2021-11-01 00:00:00.0","11","0.0","0.0"
"Tier 2","OnPoint","Taisun","303751418","Non CBP","0","1","paid ads","2021-05-01 00:00:00.0","5","263.7108787662639",
"Tier 1","Publicis","Budweiser","145529863","Non CBP","1","1","paid ads","2021-08-01 00:00:00.0","8","395.08489172340387","114.52008253867584"
"Tier 1","GroupM","Unicharm","63522286","CBP","1","1","paid ads","2021-08-01 00:00:00.0","8",,
"Tier 1","GroupM","Nestlé","108166524","CBP","1","1","paid ads","2021-08-01 00:00:00.0","8","4603.878199074449","3091.397888504856"
